"lastname",frequency
"Åhlén",852
"Åhlin",737
"Åhman",1279
"Åhs",836
"Åkerberg",1610
"Åkerblom",1738
"Åkerlind",866
"Åkerlund",3022
"Åkerman",1762
"Åkerström",1930
"Åkesson",8556
"Ålander",692
"Ålund",857
"Åman",1931
"Åsberg",2500
"Åslund",2427
"Åstrand",1232
"Åström",8554
"Åberg",9432
"Ödman",705
"Ögren",2239
"Öhlin",915
"Öhlund",864
"Öhman",5194
"Öhrn",1175
"Ölund",1543
"Öman",2410
"Öqvist",729
"Örn",1028
"Östberg",3210
"Österberg",4421
"Östergren",1595
"Österlund",1866
"Österman",1282
"Öster",1025
"Östling",2380
"Östlund",6595
"Östman",3499
"Öström",1006
"Öst",1216
