name,persons
Alma-Louise,2
Alma-Mia,3
Almante,2
Almara,3
Almas,104
Almasa,62
Alma-Sofia,3
Almass,3
Almassa,2
Almast,3
Almaz,302
Almaza,17
Almaze,6
Almazeh,2
Almedina,143
Almeida,4
Almendra,7
Almera,6
Almeta,2
Almi,3
Almida,29
Almija,2
Almila,3
Almina,147
Alminka,2
Almira,193
Almire,7
Almisa,2
Almita,2
Almudena,8
Almut,13
Almuth,5
Almy,7
Alna,4
Alnaz,2
Alnisa,2
Aloba,2
Alodia,2
Aloisia,7
Alojzija,5
Aloma,6
Alona,72
Alondra,29
Alora,5
Aloysia,2
Alpa,2
Alpana,4
Alpha,10
Alphonsine,10
Alpina,5
Alreem,3
Alrun,2
Alsafa,2
Alshaimaa,2
Alsi,3
Alsie,4
Alsira,2
Alsou,2
Alsu,7
Alsy,12
Altaf,10
Altagracia,6
Altana,5
Altanchimeg,9
Altangerel,3
Altansuvd,2
Altantsetseg,14
Altantuul,2
Altantuya,19
Altanzul,11
Altea,56
Alteja,2
Altena,3
Althaea,2
Althea,154
Althéa,5
Althia,2
Altiana,4
Altijana,6
Altin,2
Altina,78
Altinay,2
Altinë,2
Altna,2
Altrina,5
Altun,9
Altyn,5
Altynai,3
Altynay,2
Aluma,2
Aluna,2
Alungoo,2
Alva,14851
Alwa,421
Alva Lisa,2
Alva Lovisa,2
Alva Maria,2
Alvah,3
Alwah,2
Alva-Lee,2
Alvali,3
Alva-Li,18
Alvalie,8
Alva-Lii,2
Alvalina,2
Alva-Linnéa,2
Alva-Lo,3
Alva-Lotta,2
Alva-Louise,3
Alva-Maria,4
Alwan,9
Alwand,3
Alvard,4
Alvart,2
Alve,3
Alveena,11
Alvera,4
Alvhild,12
Alvi,97
Alvia,10
Alvida,52
Alvie,12
Alvilda,5
Alvilde,10
Alvin,4
Alvina,360
Alwina,13
Alvinda,2
Alwindra,2
Alwine,5
Alvine,16
Alvira,35
Alwira,4
Alvis,5
Alviva,2
Alwiya,2
Alvora,3
Alvy,22
Alvyda,3
Alya,135
Alyaa,77
Alyah,7
Alyamama,12
Alyan,4
Alyana,7
Alyanna,2
Alyasar,3
Alyce,4
Alycia,10
Alyeh,2
Alyia,3
Alyn,4
Alyna,5
Alyne,3
Alyona,12
Alys,5
Alysa,2
Alysar,4
Alysea,2
Alysha,10
Alysia,4
Alyson,8
Alyss,2
Alyssa,187
Alyssia,6
Alyx,2
Alzahra,9
Al-Zahra,2
Alzahraa,14
Alzbeta,24
Alzhanat,2
Alzira,8
Alöna,2
Am,6
Ama,17
Amaal,121
Amaani,12
Amabel,3
Amad,4
Amada,9
Amadea,12
Amadeus,2
Amai,2
Amaia,21
Amaira,9
Amaiya,2
Amajla,3
Amaka,4
Amal,1896
Amala,5
Amale,16
Amaleed,4
Amali,7
Amália,3
Amalia,792
Amálie,2
Amalie,76
Amaliia,2
Amalija,11
Amalin,2
Amaliya,9
Amalja,2
Amall,6
Amaltea,3
Amalthea,9
Amaly,3
Amalya,7
Aman,29
Amana,13
Amanah,6
Amanat,3
Amanda,24520
Amanda Louise,2
Amandah,7
Amanda-Lucia,2
Amanda-Maria,2
Amanda-My,3
Amanda-Nicole,2
Amanda-Sofie,2
Amandeep,30
Amandha,18
Amandine,42
Amandip,3
Amandla,3
Amane,24
Amanee,2
Amaneh,7
Amanet,2
Amani,629
Amanie,6
Amanj,6
Amanjot,2
Amanni,2
Amanpreet,6
Amanta,2
Amantia,2
