code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
1860,Laxå kommun,Örebro län,5709,737.56,602.00,135.56,0.00,9.48,59.1158679,14.840704,58.846124,14.4716149,58.9896252,14.6388738
1861,Hallsbergs kommun,Örebro län,15649,670.22,636.71,33.51,0.00,24.58,59.06672298,15.10636938,59.06402502,15.10367142,59.065374,15.1050204
1862,Degerfors kommun,Örebro län,9609,433.71,383.95,49.76,0.00,25.03,59.2595339,14.4588331,59.2134479,14.3971351,59.2391027,14.4339179
1863,Hällefors kommun,Örebro län,7138,1151.26,984.96,166.30,0.00,7.25,59.800914,14.5417381,59.76799,14.4868459,59.783688,14.5225692
1864,Ljusnarsbergs kommun,Örebro län,5006,631.10,575.54,55.56,0.00,8.70,60.1056601,15.239447,59.7461571,14.6847442,59.9752934,14.8777794
1880,Örebro kommun,Örebro län,146631,1620.59,1373.02,50.60,0.00,106.79,59.32867,15.2804088,59.227477,15.1245001,59.2752626,15.2134105
1881,Kumla kommun,Örebro län,21334,205.79,204.20,1.59,0.00,104.48,59.145353,15.1691279,59.1053329,15.111641,59.1265359,15.1401053
1882,Askersunds kommun,Örebro län,11282,1019.74,816.46,60.91,0.00,13.82,58.9010429,14.926394,58.8766011,14.8942199,58.8894268,14.9109867
1883,Karlskoga kommun,Örebro län,30538,510.36,468.24,42.12,0.00,65.22,59.3728809,14.613586,59.295808,14.4501969,59.328634,14.536414
1884,Nora kommun,Örebro län,10665,690.82,618.54,72.28,0.00,17.24,59.540297,15.045659,59.486875,14.9936099,59.5192064,15.0378667
1885,Lindesbergs kommun,Örebro län,23744,1480.50,1377.60,102.90,0.00,17.24,59.5972573,15.2450074,59.5859618,15.2129926,59.59161,15.229
1904,Skinnskattebergs kommun,Västmanlands län,4429,718.18,659.42,58.76,0.00,6.72,59.83172648,15.68377748,59.82902852,15.68107952,59.8303775,15.6824285
1907,Surahammars kommun,Västmanlands län,10059,368.99,343.90,25.09,0.00,29.25,59.722123,16.2481,59.689157,16.1918181,59.7072262,16.2268409
1960,Kungsörs kommun,Västmanlands län,8432,227.13,202.62,0.93,0.00,41.61,59.42396808,16.09898488,59.42127012,16.09628692,59.4226191,16.0976359
1961,Hallstahammars kommun,Västmanlands län,15843,180.26,169.53,1.76,0.00,93.45,59.631391,16.262175,59.5933559,16.1949461,59.6132041,16.2294755
1962,Norbergs kommun,Västmanlands län,5795,447.69,417.86,29.83,0.00,13.87,60.06670918,15.92554998,60.06401122,15.92285202,60.0653602,15.924201
1980,Västerås kommun,Västmanlands län,147420,1137.82,958.83,4.18,0.00,153.75,59.676659,16.6539362,59.572525,16.4362452,59.6099005,16.5448091
1981,Sala kommun,Västmanlands län,22353,1204.37,1166.83,37.54,0.00,19.16,59.92158898,16.60785398,59.91889102,16.60515602,59.92024,16.606505
1982,Fagersta kommun,Västmanlands län,13445,310.40,269.03,41.37,0.00,49.98,60.025489,15.8470908,59.9711851,15.7493418,59.989144,15.8166418
1983,Köpings kommun,Västmanlands län,25950,644.48,604.27,26.26,0.00,42.94,59.9912688,15.8161737,59.9634925,15.7653594,59.9770336,15.7915677
1984,Arboga kommun,Västmanlands län,13903,419.38,325.40,6.02,0.00,42.73,59.41416,15.9107909,59.373032,15.8011301,59.3936883,15.8381747
2021,Vansbro kommun,Dalarnas län,6884,1657.34,1539.55,117.79,0.00,4.47,60.5210514,14.2507974,60.5100677,14.2187826,60.51556,14.23479
2023,Malung-Sälens kommun,Dalarnas län,10091,4312.50,4084.89,227.61,0.00,2.47,60.68507038,13.71656328,60.68237242,13.71386532,60.6837214,13.7152143
2026,Gagnefs kommun,Dalarnas län,10175,812.33,767.17,45.16,0.00,13.26,60.6632441,15.2864281,60.2714809,14.554339,60.4527768,14.8480045
2029,Leksands kommun,Dalarnas län,15507,1411.98,1221.26,190.72,0.00,12.70,60.5066917,15.4043873,60.5060252,15.4038171,60.50623,15.4041053
2031,Rättviks kommun,Dalarnas län,10856,2137.81,1920.67,217.14,0.00,5.65,60.9045229,15.1494699,60.8589321,15.0536739,60.889025,15.123373
2034,Orsa kommun,Dalarnas län,6861,1797.39,1730.79,66.60,0.00,3.96,61.158687,14.67871,61.0739521,14.583739,61.1169365,14.6280708
2039,Älvdalens kommun,Dalarnas län,7039,7142.83,6871.91,270.92,0.00,1.02,62.2665581,14.354617,61.102689,12.1380692,61.9321196,12.990459
2061,Smedjebackens kommun,Dalarnas län,10909,1057.81,947.95,109.86,0.00,11.51,60.14078608,15.41645658,60.13808812,15.41375862,60.1394371,15.4151076
2062,Mora kommun,Dalarnas län,20279,3111.54,2812.43,299.11,0.00,7.21,61.01049128,14.54734778,61.00779332,14.54464982,61.0091423,14.5459988
2080,Falu kommun,Dalarnas län,57685,2275.22,2040.27,234.95,0.00,28.27,60.60910398,15.63101198,60.60640602,15.62831402,60.607755,15.629663
2081,Borlänge kommun,Dalarnas län,51604,635.82,583.92,51.90,0.00,88.38,60.539025,15.5445468,60.4135011,15.350771,60.484304,15.433969
2082,Säters kommun,Dalarnas län,11086,624.53,570.33,54.20,0.00,19.44,60.9143143,15.0214846,60.9128243,15.0168691,60.9135138,15.0193019
2083,Hedemora kommun,Dalarnas län,15461,928.81,834.75,94.06,0.00,18.52,60.550233,16.3922129,60.20903,15.994295,60.369005,16.1508133
2084,Avesta kommun,Dalarnas län,23161,669.03,613.20,55.83,0.00,37.77,62.280241,16.739265,59.852169,12.1331131,61.0917012,14.6663653
2085,Ludvika kommun,Dalarnas län,26933,1647.81,1490.37,157.44,0.00,18.07,60.2845509,15.4390582,59.9260671,15.018307,60.0992705,15.2371951
2101,Ockelbo kommun,Gävleborgs län,5856,1129.03,1064.76,64.27,0.00,5.50,60.923201,16.7513458,60.8739289,16.6848041,60.891784,16.7201873
2104,Hofors kommun,Gävleborgs län,9564,445.72,409.95,35.77,0.00,23.33,60.5728501,16.3261499,60.5269281,16.2578322,60.54595,16.2841
2121,Ovanåkers kommun,Gävleborgs län,11631,2016.98,1873.32,143.66,0.00,6.21,61.35108298,16.39503698,61.34838502,16.39233902,61.349734,16.393688
2132,Nordanstigs kommun,Gävleborgs län,9511,2526.16,1370.48,84.85,1070.68,6.94,62.2593851,17.6414712,61.816727,16.1284588,62.0366675,17.205249
